Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SC0,26/12/2019,15:00,St Mirren,Celtic,1,2,A,0,2,A,W Collum,8,17,4,5,6,8,3,10,1,1,0,0
SC0,29/12/2019,12:30,Celtic,Rangers,1,2,A,1,1,D,K Clancy,11,9,5,5,17,13,11,7,3,3,0,1
SC0,29/12/2019,14:00,Hearts,Aberdeen,1,1,D,0,0,D,A Muir,11,7,5,2,17,13,6,5,2,3,1,0
SC0,29/12/2019,15:00,Livingston,Hibernian,2,0,H,0,0,D,E Anderson,13,5,6,1,13,15,7,3,2,1,0,0
SC0,29/12/2019,15:00,Motherwell,Hamilton,1,2,A,1,0,H,J Beaton,9,13,3,5,7,9,2,4,2,3,0,0
SC0,29/12/2019,15:00,St Johnstone,Ross County,1,1,D,0,0,D,B Madden,15,4,3,3,6,14,7,1,2,6,0,1
SC0,29/12/2019,15:00,St Mirren,Kilmarnock,1,0,H,1,0,H,A Newlands,19,3,5,1,12,14,7,5,2,3,0,0
SC0,22/01/2020,19:45,Aberdeen,Motherwell,0,1,A,0,1,A,W Collum,7,5,2,3,12,16,9,1,1,3,0,0
SC0,22/01/2020,19:45,Hibernian,Hamilton,2,1,H,0,1,A,A Dallas,15,8,5,3,10,11,8,2,0,3,0,0
SC0,22/01/2020,19:45,Kilmarnock,Celtic,1,3,A,0,1,A,D Robertson,6,17,3,6,13,12,4,8,1,2,0,0
SC0,22/01/2020,19:45,Livingston,St Johnstone,1,0,H,0,0,D,E Anderson,8,6,4,3,9,8,6,6,2,1,0,0
SC0,22/01/2020,19:45,Rangers,St Mirren,1,0,H,1,0,H,N Walsh,17,1,5,0,10,9,10,3,2,2,0,0
SC0,22/01/2020,19:45,Ross County,Hearts,0,0,D,0,0,D,G Duncan,6,4,2,0,9,15,5,9,1,1,0,0
SC0,25/01/2020,15:00,Celtic,Ross County,3,0,H,1,0,H,K Clancy,14,7,6,2,7,10,14,0,1,0,0,0
SC0,25/01/2020,15:00,Hamilton,Livingston,2,4,A,1,2,A,B Madden,10,9,3,5,11,7,3,3,1,1,0,0
SC0,25/01/2020,15:00,Motherwell,Hibernian,0,0,D,0,0,D,C Steven,11,4,3,2,8,17,7,4,1,5,0,0
SC0,25/01/2020,15:00,St Johnstone,Kilmarnock,2,1,H,1,1,D,A Muir,8,7,4,3,11,13,6,3,2,3,0,0
SC0,26/01/2020,12:30,St Mirren,Aberdeen,0,0,D,0,0,D,D Robertson,9,13,2,3,13,8,2,11,1,0,0,0
