Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,away_shots,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
19/01/02,Livingston,Hearts,2,0,H,0,0,D,10,15,2,5,7,11,19,13,4,4,0,1
22/01/02,St Johnstone,Dundee United,1,4,A,0,3,A,8,14,3,9,6,7,9,17,1,2,0,0
23/01/02,Celtic,Hearts,2,0,H,0,0,D,18,4,8,1,7,5,9,14,0,1,0,0
23/01/02,Dunfermline,Rangers,2,4,A,2,0,H,5,16,4,8,4,10,15,11,3,2,0,0
23/01/02,Hibernian,Aberdeen,3,4,A,2,2,D,19,8,6,5,9,5,11,8,3,2,0,0
23/01/02,Motherwell,Kilmarnock,2,0,H,2,0,H,11,17,6,6,6,6,18,9,5,2,0,0
29/01/02,Aberdeen,Dundee,0,0,D,0,0,D,14,8,5,3,6,3,9,12,0,1,0,0
30/01/02,Kilmarnock,Rangers,2,2,D,0,1,A,11,12,4,5,5,7,5,16,1,3,0,0
30/01/02,Livingston,Celtic,1,3,A,1,0,H,14,17,9,5,2,3,17,12,3,1,0,0
02/02/02,Dundee United,Kilmarnock,0,2,A,0,1,A,5,10,2,6,3,7,12,9,1,1,0,0
02/02/02,Dunfermline,Hearts,1,1,D,0,0,D,8,15,3,7,10,10,11,11,0,5,0,0
02/02/02,Hibernian,Celtic,1,1,D,1,0,H,7,9,4,5,5,7,21,17,2,3,0,0
02/02/02,Motherwell,Livingston,1,2,A,1,1,D,16,12,8,8,6,3,15,19,1,4,0,0
02/02/02,Rangers,Dundee,2,1,H,0,0,D,20,12,11,7,13,3,10,13,0,2,0,0
02/02/02,St Johnstone,Aberdeen,0,1,A,0,1,A,6,11,4,6,3,7,13,14,3,2,0,0
09/02/02,Aberdeen,Kilmarnock,1,1,D,0,0,D,11,10,4,3,3,1,12,19,1,4,0,0
09/02/02,Celtic,Dunfermline,5,0,H,4,0,H,13,5,10,3,8,2,10,6,0,1,0,0
09/02/02,Dundee,St Johnstone,1,0,H,1,0,H,9,9,4,7,10,3,10,17,0,1,0,0
09/02/02,Hearts,Rangers,0,2,A,0,0,D,11,20,1,13,5,9,11,14,1,0,0,0
09/02/02,Livingston,Dundee United,1,1,D,0,0,D,14,5,5,3,10,5,13,11,5,2,0,0
09/02/02,Motherwell,Hibernian,4,0,H,0,0,D,16,6,7,2,5,5,17,19,0,2,0,0
13/02/02,Dundee,Dunfermline,2,2,D,2,0,H,8,9,3,3,1,10,8,16,1,0,0,1
16/02/02,Aberdeen,Dundee United,4,0,H,2,0,H,11,13,10,8,4,5,15,11,0,3,0,0
16/02/02,Hibernian,Dunfermline,1,1,D,0,0,D,10,13,7,6,5,9,14,18,0,2,0,0
16/02/02,Kilmarnock,Hearts,3,3,D,0,1,A,9,9,6,7,5,1,16,17,1,2,0,0
16/02/02,Rangers,Motherwell,3,0,H,2,0,H,22,5,12,1,10,3,10,14,0,2,0,1
16/02/02,St Johnstone,Livingston,3,0,H,1,0,H,8,11,4,6,5,9,16,15,0,0,0,0
17/02/02,Dundee,Celtic,0,3,A,0,2,A,9,10,3,5,4,8,16,13,3,1,0,0
02/03/02,Celtic,Aberdeen,1,0,H,1,0,H,14,3,4,1,7,3,6,19,1,2,1,1
02/03/02,Dunfermline,Livingston,1,0,H,0,0,D,14,11,8,1,5,6,15,6,2,1,0,0
02/03/02,Hibernian,St Johnstone,3,0,H,2,0,H,16,8,9,4,4,2,15,16,3,3,0,1
02/03/02,Kilmarnock,Dundee,3,2,H,1,1,D,6,9,5,3,5,5,20,16,3,3,0,0
02/03/02,Motherwell,Hearts,1,2,A,0,1,A,8,13,4,6,4,5,23,20,1,2,0,0
03/03/02,Dundee United,Rangers,0,1,A,0,0,D,5,12,4,8,4,10,16,13,4,0,0,0
06/03/02,St Johnstone,Rangers,0,2,A,0,1,A,4,16,2,11,2,7,13,10,2,1,0,0
09/03/02,Dundee,Aberdeen,2,3,A,2,0,H,6,8,4,5,7,10,16,13,3,2,1,0
09/03/02,Dunfermline,Kilmarnock,2,0,H,0,0,D,18,13,7,4,7,9,11,17,0,2,0,0
09/03/02,Hearts,Dundee United,1,2,A,0,2,A,12,11,7,4,13,1,11,22,2,1,0,0
09/03/02,Livingston,Hibernian,0,3,A,0,2,A,8,11,0,5,5,6,11,21,1,1,0,0
09/03/02,St Johnstone,Motherwell,0,2,A,0,1,A,7,13,2,7,5,9,18,10,3,1,0,0
10/03/02,Rangers,Celtic,1,1,D,0,1,A,11,7,4,3,4,7,13,11,1,0,0,0
13/03/02,Dundee,Livingston,2,0,H,0,0,D,12,5,4,3,8,6,12,7,1,2,0,2
16/03/02,Aberdeen,Dunfermline,1,0,H,1,0,H,18,6,11,2,6,11,16,4,1,0,0,0
16/03/02,Celtic,Dundee United,1,0,H,1,0,H,18,1,7,1,16,1,10,11,1,3,0,0
16/03/02,Dundee,Motherwell,2,0,H,2,0,H,12,7,2,3,2,6,17,11,1,3,0,0
16/03/02,Hibernian,Hearts,1,2,A,1,1,D,9,9,4,4,5,3,18,15,4,0,1,0
16/03/02,Kilmarnock,Livingston,1,1,D,1,1,D,9,10,5,3,9,9,17,16,2,1,0,0
19/03/02,Motherwell,Celtic,0,4,A,0,1,A,4,22,1,12,1,7,11,6,0,1,1,0
20/03/02,Rangers,Kilmarnock,5,0,H,3,0,H,14,2,11,1,6,2,9,13,1,3,0,0
23/03/02,Dundee United,Hibernian,1,2,A,0,1,A,9,9,7,5,12,1,19,13,0,0,0,0
23/03/02,Dunfermline,Dundee,2,0,H,1,0,H,9,7,4,4,7,7,9,10,1,2,0,0
23/03/02,Hearts,St Johnstone,1,3,A,0,3,A,17,12,6,7,9,4,16,18,3,2,0,0
23/03/02,Livingston,Aberdeen,0,0,D,0,0,D,8,8,4,3,4,1,15,13,4,3,0,1
06/04/02,Celtic,Livingston,5,1,H,4,0,H,15,10,9,5,3,3,6,12,0,1,0,0
06/04/02,Dundee,Kilmarnock,2,0,H,1,0,H,8,8,5,6,6,5,8,16,0,4,0,0
06/04/02,Dunfermline,Aberdeen,0,0,D,0,0,D,14,10,7,1,3,7,14,12,1,1,0,0
06/04/02,Motherwell,St Johnstone,1,1,D,0,1,A,17,11,7,6,8,3,15,16,0,0,0,0
07/04/02,Dundee United,Hibernian,2,1,H,1,0,H,8,8,6,5,5,9,12,12,0,1,0,0
07/04/02,Rangers,Hearts,2,0,H,1,0,H,11,9,7,3,10,3,11,14,0,2,0,0
13/04/02,Aberdeen,Hearts,2,3,A,1,1,D,10,12,5,7,5,3,13,21,0,2,0,0
13/04/02,Celtic,Dunfermline,5,0,H,2,0,H,11,5,6,3,9,3,7,13,0,2,0,0
13/04/02,Dundee United,Motherwell,1,0,H,0,0,D,13,9,6,2,4,7,11,9,0,2,0,0
13/04/02,Kilmarnock,Hibernian,1,0,H,1,0,H,8,7,3,3,8,6,18,20,0,2,0,0
13/04/02,Livingston,Rangers,2,1,H,1,1,D,16,7,6,4,4,9,7,11,0,0,0,0
13/04/02,St Johnstone,Dundee,0,1,A,0,0,D,9,13,5,9,6,11,12,4,0,0,0,0
20/04/02,Aberdeen,Livingston,3,0,H,3,0,H,9,12,7,4,4,6,15,12,0,2,0,0
20/04/02,Dundee,Dundee United,0,1,A,0,1,A,7,9,3,4,3,6,18,22,1,2,0,0
20/04/02,Hearts,Dunfermline,2,0,H,0,0,D,13,8,5,5,3,4,17,20,0,2,0,0
20/04/02,St Johnstone,Kilmarnock,0,3,A,0,0,D,7,10,6,6,5,5,13,7,0,0,0,0
21/04/02,Celtic,Rangers,1,1,D,1,1,D,12,9,6,3,8,3,20,19,3,2,2,1
21/04/02,Hibernian,Motherwell,4,0,H,2,0,H,15,4,11,2,3,5,12,18,1,2,0,0
27/04/02,Dundee United,St Johnstone,0,0,D,0,0,D,7,3,4,1,9,3,13,29,0,1,0,0
27/04/02,Hibernian,Dundee,2,2,D,1,1,D,16,8,9,4,10,2,20,8,1,1,0,0
27/04/02,Kilmarnock,Motherwell,1,4,A,0,1,A,11,10,3,7,6,5,12,13,1,3,0,0
27/04/02,Rangers,Aberdeen,2,0,H,1,0,H,19,6,8,1,9,4,7,13,0,1,0,0
28/04/02,Hearts,Celtic,1,4,A,1,2,A,6,13,1,9,1,9,12,10,0,1,0,0
28/04/02,Livingston,Dunfermline,4,1,H,1,1,D,16,8,8,3,6,5,11,11,0,1,0,0
12/05/02,Aberdeen,Celtic,0,1,A,0,0,D,2,7,1,2,3,8,11,11,2,2,0,0
12/05/02,Dunfermline,Rangers,1,1,D,0,1,A,10,7,4,2,4,6,13,7,1,0,0,0
12/05/02,Hearts,Livingston,2,3,A,0,0,D,13,11,5,6,8,5,10,11,1,1,0,0
12/05/02,Kilmarnock,Dundee United,2,2,D,1,0,H,10,10,5,4,3,6,11,14,0,2,0,0
12/05/02,Motherwell,Dundee,2,1,H,2,0,H,20,13,9,8,9,5,17,11,0,0,0,0
12/05/02,St Johnstone,Hibernian,0,1,A,0,1,A,8,12,5,4,6,2,12,19,1,0,0,0
