Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
06/04/13,Motherwell,St Mirren,2,2,D,1,1,D,16,5,7,4,9,6,8,2,0,1,0,0
19/04/13,Dundee United,Motherwell,1,3,A,0,2,A,13,9,7,6,5,15,4,4,1,3,0,0
20/04/13,Kilmarnock,Hearts,0,1,A,0,1,A,9,12,3,3,10,14,5,0,2,0,0,0
20/04/13,St Mirren,Dundee,1,2,A,0,1,A,10,12,7,4,10,8,7,6,1,1,1,0
21/04/13,Celtic,Inverness C,4,1,H,0,0,D,19,3,10,3,13,7,6,5,1,1,0,0
21/04/13,St Johnstone,Ross County,2,2,D,2,1,H,9,15,7,8,16,14,4,7,1,3,0,0
22/04/13,Hibernian,Aberdeen,0,0,D,0,0,D,12,4,7,1,7,12,6,3,1,1,0,0
26/04/13,Ross County,Dundee United,1,0,H,0,0,D,17,4,7,2,10,11,2,5,1,2,0,1
27/04/13,Aberdeen,Kilmarnock,1,0,H,1,0,H,9,6,7,2,16,10,7,3,3,1,0,0
27/04/13,Dundee,Hearts,1,0,H,0,0,D,4,1,2,1,7,9,10,4,1,3,1,1
27/04/13,Hibernian,St Mirren,3,3,D,1,0,H,13,11,7,5,10,6,6,5,1,1,0,0
27/04/13,St Johnstone,Inverness C,1,0,H,0,0,D,16,6,6,3,12,9,9,3,1,3,0,1
28/04/13,Motherwell,Celtic,3,1,H,1,1,D,12,18,7,9,13,9,4,5,3,2,0,0
04/05/13,Dundee United,St Johnstone,0,1,A,0,1,A,3,5,1,4,8,5,3,6,1,0,0,1
04/05/13,Hearts,St Mirren,3,0,H,2,0,H,14,6,5,4,5,16,3,6,2,2,0,1
04/05/13,Inverness C,Motherwell,4,3,H,3,1,H,12,8,8,4,10,13,4,6,2,3,0,1
05/05/13,Dundee,Aberdeen,1,1,D,1,0,H,11,4,7,2,11,4,5,7,1,2,0,0
05/05/13,Ross County,Celtic,1,1,D,1,1,D,12,8,7,6,10,9,4,7,0,0,0,0
11/05/13,Celtic,St Johnstone,4,0,H,2,0,H,15,1,8,0,10,12,7,3,4,4,0,0
11/05/13,Dundee,Kilmarnock,2,3,A,1,1,D,12,11,9,10,8,3,4,10,3,1,0,0
11/05/13,Inverness C,Dundee United,1,2,A,1,0,H,21,13,11,7,6,15,10,4,1,2,0,0
11/05/13,St Mirren,Aberdeen,0,0,D,0,0,D,7,12,3,6,8,12,8,4,0,0,0,0
12/05/13,Hearts,Hibernian,1,2,A,1,0,H,8,7,4,5,13,10,5,7,1,1,0,0
12/05/13,Motherwell,Ross County,2,0,H,2,0,H,5,9,2,2,4,7,2,6,0,2,0,0
15/05/13,Kilmarnock,Hibernian,1,3,A,0,1,A,10,8,4,4,8,14,5,5,0,3,0,0
18/05/13,Aberdeen,Hearts,1,1,D,0,0,D,12,4,6,4,15,15,11,7,1,2,0,0
18/05/13,Hibernian,Dundee,1,0,H,0,0,D,12,5,4,1,11,8,9,6,0,1,0,0
18/05/13,Kilmarnock,St Mirren,1,3,A,1,1,D,2,7,1,3,9,3,4,3,0,0,0,0
19/05/13,Dundee United,Celtic,0,4,A,0,3,A,16,21,7,12,13,12,3,5,1,0,0,0
19/05/13,Ross County,Inverness C,1,0,H,1,0,H,15,8,8,3,16,7,4,4,3,3,0,0
19/05/13,St Johnstone,Motherwell,2,0,H,1,0,H,14,7,4,5,9,9,6,4,2,0,0,0
