Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H
SC0,17/02/2019,Kilmarnock,Celtic,0,1,A,0,0,D,B Madden,8,12,1,6,12,8,7,3,0,1,1,1,7.5
SC0,17/02/2019,Motherwell,Hearts,2,1,H,1,1,D,N Walsh,10,13,7,3,16,15,7,6,2,2,0,1,2.9
SC0,22/02/2019,Dundee,Hibernian,2,4,A,1,2,A,J Beaton,6,10,5,8,13,10,5,2,4,1,0,0,4.2
SC0,23/02/2019,Hearts,St Mirren,1,1,D,0,0,D,D Robertson,15,8,6,1,14,13,9,2,3,3,0,0,1.53
SC0,23/02/2019,Livingston,Kilmarnock,1,0,H,1,0,H,A Dallas,9,7,2,2,12,5,3,2,2,0,0,0,3
SC0,23/02/2019,St Johnstone,Aberdeen,0,2,A,0,1,A,E Anderson,4,4,1,2,11,5,12,3,3,1,0,0,3.75
SC0,24/02/2019,Celtic,Motherwell,4,1,H,2,0,H,K Clancy,14,5,8,1,13,14,5,3,4,4,0,0,1.18
SC0,24/02/2019,Hamilton,Rangers,0,5,A,0,4,A,N Walsh,3,22,1,9,16,6,1,8,1,0,0,0,13
SC0,27/02/2019,Aberdeen,Hamilton,0,2,A,0,1,A,B Madden,18,5,4,3,11,17,11,5,1,2,0,0,1.28
SC0,27/02/2019,Hearts,Celtic,1,2,A,0,1,A,S McLean,6,16,3,7,17,13,4,5,3,2,1,0,5.5
SC0,27/02/2019,Rangers,Dundee,4,0,H,3,0,H,D Robertson,20,7,7,1,8,7,6,1,0,2,0,0,1.16
SC0,27/02/2019,St Johnstone,Hibernian,1,2,A,1,0,H,G Duncan,6,8,1,4,9,13,11,2,0,2,0,1,2.75
SC0,02/03/2019,Kilmarnock,Motherwell,0,0,D,0,0,D,J Beaton,11,7,4,4,11,11,4,5,3,2,0,0,2.1
SC0,02/03/2019,St Mirren,Livingston,1,0,H,0,0,D,N Walsh,10,8,5,1,7,12,4,7,1,3,0,0,3
SC0,08/03/2019,Hibernian,Rangers,1,1,D,0,1,A,S McLean,13,19,6,6,19,9,5,5,3,3,1,0,5.25
SC0,09/03/2019,Celtic,Aberdeen,0,0,D,0,0,D,C Thomson,8,6,2,2,9,11,11,3,1,1,0,0,1.33
SC0,09/03/2019,Dundee,Hearts,0,1,A,0,1,A,N Walsh,9,4,3,3,18,16,8,3,3,3,0,0,4.33
SC0,09/03/2019,Livingston,St Johnstone,3,1,H,1,1,D,J Beaton,11,5,4,2,10,5,2,5,1,1,0,0,2.25
SC0,09/03/2019,Motherwell,Hamilton,3,0,H,3,0,H,A Dallas,14,10,9,3,14,14,2,1,2,4,0,0,1.7
SC0,11/03/2019,St Mirren,Kilmarnock,0,1,A,0,0,D,D Robertson,11,16,5,4,14,9,7,4,1,1,0,0,4.2
SC0,16/03/2019,Aberdeen,Livingston,1,1,D,1,1,D,D Robertson,8,7,3,3,12,10,4,3,0,0,0,0,1.61
SC0,16/03/2019,Hamilton,Hearts,1,0,H,1,0,H,W Collum,11,8,5,1,15,18,3,5,0,0,0,0,4.75
SC0,16/03/2019,Hibernian,Motherwell,2,0,H,2,0,H,K Clancy,13,11,5,6,8,10,4,6,2,2,0,0,1.95
SC0,16/03/2019,Rangers,Kilmarnock,1,1,D,0,1,A,G Aitken,9,2,7,1,5,9,5,3,2,4,0,0,1.33
SC0,17/03/2019,Dundee,Celtic,0,1,A,0,0,D,B Madden,8,24,3,8,6,5,5,12,1,0,0,0,13
SC0,27/03/2019,St Johnstone,St Mirren,1,0,H,1,0,H,S McLean,6,10,4,3,10,16,7,4,0,1,0,1,1.83
SC0,29/03/2019,Livingston,Hibernian,1,2,A,0,0,D,N Walsh,12,6,2,3,9,9,6,6,0,0,0,0,2.8
SC0,30/03/2019,Hearts,Aberdeen,2,1,H,0,1,A,J Beaton,8,8,5,3,12,21,1,5,4,4,0,0,2.7
SC0,30/03/2019,Kilmarnock,Hamilton,5,0,H,1,0,H,A Dallas,14,2,7,1,7,7,6,1,1,3,0,0,1.61
SC0,30/03/2019,Motherwell,St Johnstone,3,0,H,0,0,D,E Anderson,10,4,3,1,2,1,5,6,1,1,0,0,2.25
SC0,30/03/2019,St Mirren,Dundee,2,1,H,1,1,D,W Collum,7,7,4,3,14,13,2,1,1,1,0,0,2.3
SC0,31/03/2019,Celtic,Rangers,2,1,H,1,0,H,B Madden,12,6,7,1,8,16,10,5,3,2,0,1,1.75
SC0,03/04/2019,Aberdeen,Motherwell,3,1,H,1,1,D,G Duncan,16,2,7,1,12,12,3,1,1,1,0,0,1.72
SC0,03/04/2019,Hibernian,Kilmarnock,0,0,D,0,0,D,S McLean,5,9,2,5,15,10,2,6,2,4,0,0,2.37
SC0,03/04/2019,Livingston,Hamilton,2,0,H,0,0,D,A Muir,13,3,6,1,15,8,4,5,2,2,0,0,1.75
SC0,03/04/2019,Rangers,Hearts,3,0,H,2,0,H,K Clancy,15,8,6,4,12,18,6,4,1,2,0,0,1.55
SC0,03/04/2019,St Johnstone,Dundee,2,0,H,1,0,H,G Aitken,10,10,6,3,11,13,6,1,1,1,0,0,1.75
SC0,03/04/2019,St Mirren,Celtic,0,2,A,0,1,A,D Robertson,4,18,1,6,10,12,1,2,1,2,0,0,15
SC0,06/04/2019,Celtic,Livingston,0,0,D,0,0,D,E Anderson,18,3,11,1,6,12,8,4,0,4,0,0,1.2
SC0,06/04/2019,Dundee,Aberdeen,0,2,A,0,0,D,A Dallas,6,17,1,7,16,6,4,8,2,1,0,0,6
SC0,06/04/2019,Hamilton,St Mirren,1,1,D,0,0,D,J Beaton,13,11,6,1,20,8,7,5,1,0,0,0,2.62
SC0,06/04/2019,Hearts,Hibernian,1,2,A,1,1,D,W Collum,15,11,8,6,11,19,11,2,1,2,0,0,2.37
SC0,06/04/2019,Kilmarnock,St Johnstone,2,0,H,2,0,H,B Madden,18,5,8,1,13,10,15,2,1,4,0,1,1.83
SC0,07/04/2019,Motherwell,Rangers,0,3,A,0,2,A,N Walsh,9,8,1,4,11,9,2,1,2,0,0,0,7.5
